Occupation,Emp_2020,Emp_2030,Emp_Change,Emp_Change_P,Job_Openings_Yearly,Wage,Educ_Level
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",20.9,20.1,-0.8,-3.9,2.3,36990,No formal educational credential
Helpers--carpenters,31.0,31.2,0.2,0.7,3.7,34280,No formal educational credential
Helpers--electricians,75.5,76.2,0.7,0.9,8.9,33840,High school diploma or equivalent
Helpers--extraction workers,12.6,15.5,2.9,23.0,1.9,37860,High school diploma or equivalent
"Helpers--installation, maintenance, and repair workers",92.9,99.8,6.9,7.4,12.9,31760,High school diploma or equivalent
"Helpers--painters, paperhangers, plasterers, and stucco masons",9.4,10.0,0.6,6.8,1.2,31640,No formal educational credential
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",56.2,59.4,3.1,5.6,7.1,33590,High school diploma or equivalent
Helpers--production workers,238.0,227.2,-10.8,-4.5,31.8,30500,High school diploma or equivalent
Helpers--roofers,8.2,8.6,0.4,4.8,1.0,33260,No formal educational credential
Highway maintenance workers,153.8,163.1,9.3,6.0,17.1,41660,High school diploma or equivalent
Historians,3.1,3.3,0.2,5.5,0.3,63100,Master's degree
"History teachers, postsecondary",24.4,26.3,1.9,7.9,2.5,76890,Doctoral or professional degree
Hoist and winch operators,5.0,5.2,0.2,3.4,0.6,62610,No formal educational credential
Home appliance repairers,31.6,30.4,-1.1,-3.6,2.9,41610,High school diploma or equivalent
Home health and personal care aides,3470.7,4600.6,1129.9,32.6,599.8,27080,High school diploma or equivalent
"Hosts and hostesses, restaurant, lounge, and coffee shop",333.6,417.8,84.2,25.3,95.2,23880,No formal educational credential
"Hotel, motel, and resort desk clerks",221.0,257.3,36.3,16.4,42.8,25490,High school diploma or equivalent
"Human resources assistants, except payroll and timekeeping",112.0,108.8,-3.2,-2.9,10.6,43250,Associate's degree
Human resources managers,161.7,176.5,14.8,9.2,14.8,121220,Bachelor's degree
Human resources specialists,674.8,745.1,70.2,10.4,73.4,63490,Bachelor's degree
Hydrologists,6.5,6.9,0.4,5.6,0.7,84040,Bachelor's degree
Industrial engineering technologists and technicians,64.1,66.9,2.8,4.4,6.3,57320,Associate's degree
Industrial engineers,292.0,332.0,40.0,13.7,23.3,88950,Bachelor's degree
Industrial machinery mechanics,391.8,475.3,83.6,21.3,45.1,55490,High school diploma or equivalent
Industrial production managers,189.3,199.3,10.0,5.3,13.9,108790,Bachelor's degree
Industrial truck and tractor operators,631.6,680.3,48.7,7.7,75.0,37560,No formal educational credential
Industrial-organizational psychologists,4.9,5.0,0.1,2.2,0.3,96270,Master's degree
"Information and record clerks, all other",159.9,168.1,8.2,5.1,18.3,42820,High school diploma or equivalent
Information security analysts,141.2,188.3,47.1,33.3,16.3,103590,Bachelor's degree
"Inspectors, testers, sorters, samplers, and weighers",557.9,489.8,-68.1,-12.2,54.9,40460,High school diploma or equivalent
"Installation, maintenance, and repair workers, all other",173.2,183.4,10.2,5.9,19.2,42480,High school diploma or equivalent
Instructional coordinators,190.4,208.9,18.4,9.7,20.4,66970,Master's degree
"Insulation workers, floor, ceiling, and wall",33.3,34.9,1.6,4.9,3.3,41690,No formal educational credential
"Insulation workers, mechanical",28.2,29.6,1.4,5.1,2.8,50030,High school diploma or equivalent
"Insurance appraisers, auto damage",15.6,15.7,0.1,0.6,1.2,65550,Postsecondary nondegree award
Insurance claims and policy processing clerks,277.9,281.8,3.9,1.4,26.7,42050,High school diploma or equivalent
Insurance sales agents,507.2,542.7,35.5,7.0,50.4,52180,High school diploma or equivalent
Insurance underwriters,119.4,117.2,-2.2,-1.8,8.3,71790,Bachelor's degree
Interior designers,87.0,86.9,-0.2,-0.2,7.8,57060,Bachelor's degree
Interpreters and translators,81.4,100.7,19.3,23.7,10.4,52330,Bachelor's degree
"Interviewers, except eligibility and loan",180.2,168.4,-11.8,-6.5,20.1,36170,High school diploma or equivalent
"Janitors and cleaners, except maids and housekeeping cleaners",2217.0,2344.2,127.2,5.7,314.9,29080,No formal educational credential
Jewelers and precious stone and metal workers,32.4,32.1,-0.3,-0.8,3.8,41900,High school diploma or equivalent
"Judges, magistrate judges, and magistrates",29.4,30.4,1.0,3.4,1.5,141080,Doctoral or professional degree
Judicial law clerks,15.1,15.7,0.6,3.9,1.1,57510,Doctoral or professional degree
"Kindergarten teachers, except special education",121.3,131.1,9.8,8.1,13.5,57860,Bachelor's degree
Labor relations specialists,73.5,70.3,-3.2,-4.3,6.4,73240,Bachelor's degree
"Laborers and freight, stock, and material movers, hand",2821.7,3077.5,255.8,9.1,411.3,31120,No formal educational credential
Landscape architects,23.7,23.6,-0.1,-0.3,1.6,70630,Bachelor's degree
Landscaping and groundskeeping workers,1117.8,1202.8,85.0,7.6,157.9,31730,No formal educational credential
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",23.7,22.7,-1.0,-4.4,2.2,41380,High school diploma or equivalent
Laundry and dry-cleaning workers,175.5,196.1,20.6,11.8,26.6,25470,No formal educational credential
"Law teachers, postsecondary",18.9,21.0,2.0,10.6,2.0,116430,Doctoral or professional degree
Lawyers,804.2,875.7,71.5,8.9,46.0,126930,Doctoral or professional degree
"Layout workers, metal and plastic",7.9,7.3,-0.5,-6.6,0.7,52300,High school diploma or equivalent
Legal secretaries and administrative assistants,160.4,126.7,-33.6,-21.0,12.0,48980,High school diploma or equivalent
"Legal support workers, all other",49.6,49.8,0.2,0.5,4.7,59540,Associate's degree
Legislators,52.2,56.1,4.0,7.6,4.3,33200,Bachelor's degree
Librarians and media collections specialists,143.5,156.5,13.0,9.1,15.2,60820,Master's degree
"Library assistants, clerical",88.0,87.5,-0.5,-0.6,13.4,28730,High school diploma or equivalent
"Library science teachers, postsecondary",5.0,5.3,0.3,5.9,0.5,71580,Doctoral or professional degree
Library technicians,93.1,93.2,0.1,0.2,13.4,37010,Postsecondary nondegree award
Licensed practical and licensed vocational nurses,688.1,751.9,63.8,9.3,60.7,48820,Postsecondary nondegree award
"Life scientists, all other",7.0,7.6,0.6,8.4,0.6,82000,Bachelor's degree
"Life, physical, and social science technicians, all other",69.7,75.5,5.8,8.3,9.3,52460,Associate's degree
