National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by award level and  highest degree offered: 2019-20"

Year,Award level,Total,Non-degree granting,Doctor's degree - research/scholarship and professional practice,Doctor's degree - research/scholarship,Doctor's degree -  professional practice,Doctor's degree - other,Master's degree,Bachelor's degree,Associate's degree
2014,Master's degree,"754,582",N/A,"405,387","144,881","60,613","21,383","122,288",30,N/A
2014,Post-master's certificate,"19,279",23,"11,591","3,234","1,096",552,"2,772",11,N/A
2014,Doctor's degree - research/scholarship (new degree classification),"67,186",N/A,"55,982","11,075",8,121,N/A,N/A,N/A
2014,Doctor's degree - professional practice (new degree classification),"108,643",N/A,"82,984",99,"25,436",124,0,N/A,N/A
2014,Doctor's degree - other (new degree classification),"1,758",N/A,491,196,373,698,N/A,N/A,N/A
2013,Total,"4,793,988","316,242","1,431,450","503,108","216,831","76,899","629,006","350,016","1,270,436"
2013,Award of less than 1 academic year,"453,104","112,918","6,003","2,104",783,233,"4,763","35,396","290,904"
2013,Award of at least 1 but less than 2 academic years,"473,080","173,953","3,124",886,844,110,"6,408","27,913","259,842"
2013,Associate's degree,"1,007,542",115,"14,614","40,067","9,279","3,010","56,724","173,231","710,502"
2013,Award of at least 2 but less than 4 academic years,"41,030","29,053",543,217,635,6,344,"1,167","9,065"
2013,Bachelor's degree,"1,840,381",N/A,"843,659","294,860","121,449","49,132","419,244","112,037",0
2013,Postbaccalaureate certificate,"34,314",193,"16,753","6,810","3,334",847,"6,007",248,122
2013,Master's degree,"751,718",N/A,"398,347","143,914","54,421","22,331","132,691",13,1
2013,Post-master's certificate,"17,793",10,"10,482","3,071","1,040",379,"2,800",11,N/A
2013,Doctor's degree - research/scholarship (new degree classification),"64,512",N/A,"53,648","10,730",4,105,25,N/A,N/A
2013,Doctor's degree - professional practice (new degree classification),"109,145",N/A,"83,847",294,"24,888",116,0,N/A,N/A
2013,Doctor's degree - other (new degree classification),"1,369",N/A,430,155,154,630,N/A,N/A,N/A
2012,Total,"4,782,571","350,037","1,388,587","510,172","206,356","78,659","635,312","350,614","1,262,834"
2012,Award of less than 1 academic year,"463,830","125,192","5,813","1,510",446,451,"4,718","28,682","297,018"
2012,Award of at least 1 but less than 2 academic years,"481,606","194,310","2,709",807,868,200,"6,941","25,981","249,790"
2012,Associate's degree,"1,021,774",56,"13,176","53,168","9,346","2,120","62,406","175,913","705,589"
2012,Award of at least 2 but less than 4 academic years,"43,625","30,260",518,178,849,5,344,"1,181","10,290"
2012,Bachelor's degree,"1,792,163",N/A,"813,704","285,921","112,856","50,838","410,207","118,629",8
2012,Postbaccalaureate certificate,"35,287",206,"15,687","6,636","2,850",855,"8,704",214,135
2012,Master's degree,"755,967",N/A,"391,407","148,696","53,637","23,128","139,090",5,4
2012,Post-master's certificate,"18,102",13,"10,556","2,946","1,337",339,"2,902",9,N/A
2012,Doctor's degree - research/scholarship (new degree classification),"62,051",N/A,"51,949","10,029",21,52,N/A,0,N/A
2012,Doctor's degree - professional practice (new degree classification),"106,872",N/A,"82,666",150,"23,965",91,0,N/A,N/A
2012,Doctor's degree - other (new degree classification),"1,294",N/A,402,131,181,580,N/A,N/A,N/A
2011,Total,"4,637,322","369,724","1,314,645","482,179","190,706","79,510","644,764","321,624","1,234,170"
2011,Award of less than 1 academic year,"483,488","134,508","4,273","1,173",557,87,"4,709","29,466","308,715"
2011,Award of at least 1 but less than 2 academic years,"503,241","204,933","2,291",835,751,121,"9,538","26,526","258,246"
2011,Associate's degree,"943,515",9,"12,419","52,713","9,484","1,056","61,655","150,062","656,117"
2011,Award of at least 2 but less than 4 academic years,"43,748","30,016",468,173,609,8,213,"1,292","10,969"
2011,Bachelor's degree,"1,716,053",N/A,"771,534","263,039","101,548","50,739","415,229","113,964",0
2011,Postbaccalaureate certificate,"34,524",244,"14,270","6,759","2,696",837,"9,372",237,109
2011,Master's degree,"730,922",N/A,"369,339","144,494","50,300","25,280","141,431",64,14
2011,Post-master's certificate,"18,004",14,"10,539","3,283","1,145",400,"2,610",13,N/A
2011,Doctor's degree - research/scholarship (new degree classification),"59,579",N/A,"49,953","9,302",8,309,7,N/A,N/A
2011,Doctor's degree - professional practice (new degree classification),"102,951",N/A,"79,351",200,"23,283",117,0,N/A,N/A
2011,Doctor's degree - other (new degree classification),"1,297",N/A,208,208,325,556,N/A,N/A,N/A
2010,Total,"4,336,631","347,048","1,235,735","429,358","201,464","89,687","635,548","278,006","1,119,785"
2010,Award of less than 1 academic year,"503,561","154,692","3,902","1,332",431,52,"7,423","24,881","310,848"
2010,Award of at least 1 but less than 2 academic years,"382,073","160,487","2,094",736,875,134,"5,129","20,886","191,732"
2010,Associate's degree,"848,976",120,"10,258","43,126","8,387","2,309","56,469","126,867","601,440"
2010,Award of at least 2 but less than 4 academic years,"50,085","31,523",564,126,569,13,184,"1,453","15,653"
2010,Bachelor's degree,"1,649,919",N/A,"729,679","234,893","111,696","56,184","413,866","103,596",5
2010,Postbaccalaureate certificate,"31,688",214,"12,589","6,161","2,583",662,"9,061",311,107
2010,Master's degree,"693,313",N/A,"341,329","131,456","52,701","28,117","139,706",4,0
2010,Post-master's certificate,"18,426",12,"10,563","2,853","1,512",301,"3,177",8,0
2010,Doctor's degree - research/scholarship (new degree classification),"57,203",N/A,"48,072","8,383",235,513,N/A,N/A,N/A
2010,Doctor's degree - professional practice (new degree classification),"99,675",N/A,"76,354",165,"21,857",791,508,N/A,N/A
2010,Doctor's degree - other (new degree classification),"1,712",N/A,331,127,618,611,25,N/A,N/A
2009,Total,"4,056,528","304,213","1,135,145","421,674","153,267","123,609","647,233","251,187","1,020,200"
2009,Award of less than 1 academic year,"429,979","144,182","2,702","1,448",390,105,"4,708","17,295","259,149"
2009,Award of at least 1 but less than 2 academic years,"337,850","135,822","1,953",516,676,268,"4,633","18,572","175,410"
2009,Associate's degree,"787,384",141,"8,802","33,052","4,311","5,391","52,772","107,584","575,331"
2009,Award of at least 2 but less than 4 academic years,"36,791","23,849",366,405,7,469,193,"1,294","10,208"
2009,Bachelor's degree,"1,601,399",N/A,"672,002","235,744","82,205","78,476","426,920","106,051",1
2009,Postbaccalaureate certificate,"28,212",211,"10,279","5,452","2,299",922,"8,587",361,101
2009,Master's degree,"659,265",N/A,"308,532","131,694","40,175","34,366","144,495",3,0
2009,Post-master's certificate,"17,740",8,"9,670","2,782","1,325",484,"3,471",N/A,N/A
2009,Doctor's degree (old degree classification),"37,240",N/A,"29,286","5,810",854,"1,290",0,N/A,N/A
2009,First-professional degree (old degree classification),"50,006",N/A,"39,132",778,"7,113","1,521","1,439",23,N/A
2009,First-professional certificate (old degree classification),527,N/A,440,9,44,15,15,4,N/A
2009,Doctor's degree - research/scholarship (new degree classification),"24,253",N/A,"20,246","3,953",54,0,N/A,N/A,N/A
2009,Doctor's degree - professional practice (new degree classification),"45,001",N/A,"31,653",0,"13,334",14,0,N/A,N/A
2009,Doctor's degree - other (new degree classification),881,N/A,82,31,480,288,N/A,N/A,N/A

